id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
20931;Caprine;Casaco Caprine;79.00;79.00;Casaco um bot„o. Possui dois bolsos na parte da frente que acompanham o recorte lateral da modelagem. Lapela alongada.;G;Vintage;;DISPONIVEL;03:04.7;VERIFICADO
20932;Contemplo;Casaco Listra Contemplo;89.00;89.00;Casaco estilo blazer acinturado com cinco botıes. Possui trÍs bolsos externos e uma faixa como detalhe nas costas. ;G;Vintage;;VENDIDO;17:55.6;VERIFICADO
20933;McGyver;Jaqueta Jeans Mcgyver;199.00;199.00;Jaqueta jeans estilo aviador. Gola e corpo interno forrado com pelo sintÈtico. Possui quatro bolsos na parte da frente. Fechamento por abotoamento de botıes de metal, a peÁa apresenÁa  A peÁa esta em Ûtimo estado de conservaÁ„o. ;P;Vintage;;VENDIDO;56:25.8;VERIFICADO
20934;Sem Marca;Blazer Pied de Poule;129.00;129.00;Blazer dois botıes em padronagem cl·ssica pied de poule. Possui dois bolsos com lapela na parte da frente. PeÁa muito bem conservada, apresentando no forro das costas um leve descosturado de aproximadamente cinco centÌmetros.;M;Vintage;;VENDIDO;16:40.6;VERIFICADO
20935;Universe Teen;Casaco Universe;69.00;69.00;Casaco em suede forrado com pelo sintÈtico. Modelagem mais acinturada. Gola boba arredondanda. Possui presilha dourada para fechamento. A peÁa veste mais certa ao corpo, porÈm pode ser usada aberta de forma mais despojada. Em Ûtimo estado de conservaÁ„o. ;M;Vintage;;VENDIDO;00:50.4;VERIFICADO
20937;Sem Marca;Casaco Risca de Giz;89.00;89.00;Casaco trÍs botıes em l„ risca de giz. Lapela alongada. Possui dois bolsos na parte da frente. PeÁa muito bem conservada. ;G;Vintage;;DISPONIVEL;36:54.6;VERIFICADO
11690;Sem Marca;Saia Couro SintÈtico;15.00;25.00;Saia de cintura alta em couro sintÈtico com zÌper lateral embutido. O tecido possui desgaste.;P;Vintage;;VENDIDO;09:13.2;VERIFICADO
14421;Original Beagle;Camisa Beagle;35.00;35.00;Camisa verde de manga curta com bolso na frente. Possui alguns pontos onde a cor est· um pouco desbotada, mas n„o compromete a peÁa.;M;Vintage;;VENDIDO;27:13.4;VERIFICADO
16910;Sem Marca;Legging de Lurex Prata;99.00;99.00;Legging de lurex prateado, com padronagens que forma listras verticais. Cintura alta. Garimpada em Buenos Aires, Argentina.;P;Vintage;;VENDIDO;28:26.2;VERIFICADO
11701;Tipo;Saia Granito;35.00;35.00;Saia felpuda de cintura alta;P;Vintage;;VENDIDO;19:56.6;VERIFICADO
11702;Hawk;Vestido Listrado;25.00;45.00;Vestido estampado com pregas na saia e zÌper lateral.;M;Vintage;;VENDIDO;50:58.8;VERIFICADO
11703;Alla Z;Blusa Conchas;23.00;23.00;Blusa estampada com transparÍncia. O tecido possui fios puxados, mas n„o comprometem a peÁa.;M;Vintage;;VENDIDO;43:04.3;VERIFICADO
11704;Sem Marca;Vestido Liso;24.00;35.00;Vestido liso com pences e fenda pequena atr·s. O tecido possui um toque aveludado.;M;Vintage;;VENDIDO;20:07.3;VERIFICADO
14435;Milani;Camisa Milani;79.00;79.00;Camisa xadrezde manga comprida com bolsos na frente.;M;Vintage;;VENDIDO;29:33.5;VERIFICADO
11705;Sem Marca;Vestido Veludo Floral;37.00;37.00;Vestido de veludo devorÍ floral com fenda na frente e decote nas costas. Possui elasticidade.;P;Vintage;;VENDIDO;49:30.4;VERIFICADO
11706;Santover;Camisa Linho Listrado;25.00;30.00;Camisa de linho sem mangas com botoes na frente.;G;Vintage;;VENDIDO;09:23.8;VERIFICADO
11708;Hering;Chemisier Floral;40.00;40.00;Chemisier com estampa floral, um bolso na frente e el·stico na cintura.;G;Vintage;;VENDIDO;13:02.1;VERIFICADO
